asin,title,price,rating,reviews,sold_past_month,is_bestseller,is_prime,is_amazon_choice,has_sustainability_features,brand
B0BBLXRGQC,"Compressed Air Duster, 3 Gear to 51000RPM Cordless Electric Air Duster, 6000mAh Rechargeable Air Blower with LED Light for Laptop Computer Keyboard Cleaning Pet Hair Crumb Replaces Compressed Air Can",23.98,4.3 out of 5 stars,653.0,1000.0,False,False,False,False,Generic
B07W7SZJ25,"HUANUO Portable Lap Laptop Desk with Pillow Cushion, Fits up to 15.6 inch Laptop, with Anti-Slip Strip & Storage Function for Home Office Students Use as Computer Laptop Stand, Book Tablet",29.99,4.5 out of 5 stars,14427.0,3000.0,False,False,False,False,HUANUO
B07W1L7TCF,"OXO Good Grips Sweep & Swipe Laptop Cleaner, White, One Size",11.99,4.4 out of 5 stars,16202.0,3000.0,False,False,False,False,OXO
B00DUGZFWY,"Amazon Basics 15.6-Inch Laptop Computer and Tablet Shoulder Bag Carrying Case,1 Pack, Black",14.18,4.7 out of 5 stars,90878.0,4000.0,False,False,False,False,Generic
B074473Z6T,"AboveTEK Portable Laptop Lap Desk w/ Retractable Left/Right Mouse Pad Tray, Non-Slip Heat Shield Tablet Notebook Computer Stand Table w/ Sturdy Stable Work Surface for Bed Sofa Couch or Travel",25.99,4.6 out of 5 stars,6718.0,1000.0,False,False,False,True,AboveTEK
B09KSX7TLH,"MagSafe Accessories Compatible with iPhone 15 14 13 12 Series, Universal Laptop Accessories in Order for Dual-Screen Interaction, Laptop Phone Holder for iPhones",14.99,4.3 out of 5 stars,301.0,100.0,False,False,False,False,Generic
B015NBTAOW,"TECKNET Wireless Mouse, 2.4G Ergonomic Optical Mouse, Computer Mouse for Laptop, PC, Computer, Chromebook, Notebook, 6 Buttons, 24 Months Battery Life, 2600 DPI, 5 Adjustment Levels",8.49,4.5 out of 5 stars,65314.0,10000.0,False,False,False,False,TECKNET
B0BJZ2PFCV,"Laptop Cleaning Kit Keyboard Cleaner, Keyboard Cleaning Kit Electronics Cleaning Tool for MacBook iPad Phone iPhone Pro, Brush Tool for Tablet, Computer, PC, TV Camera Lens Computer Vacuum Keyboard",15.99,4.5 out of 5 stars,2258.0,1000.0,False,False,False,False,Generic
B08NWTS1YY,"havit Bluetooth Number Pad Wireless Numeric Keypad Numpad 26 Keys Portable Mini Financial Accounting Rechargeable Numeric Pad for Laptop Desktop, PC, Surface Pro, Notebook (Black)",19.99,4.4 out of 5 stars,2653.0,2000.0,True,False,False,False,havit
B0C7BKZ883,"Adjustable Laptop Stand for Desk, Metal Foldable Laptop Riser, Portable Laptop Holder Mount, Ventilated Cooling Computer Notebook Stand Compatible with 10-15.6” Laptops",15.99,4.4 out of 5 stars,652.0,8000.0,False,False,False,False,Generic
B078W4XP77,"OMOTON [Updated Dock Version Vertical Laptop Stand, Double Desktop Stand Holder with Adjustable Dock (Up to 17.3 inch), Fits All MacBook/Surface/Samsung/HP/Dell/Chrome Book (Silver)",24.99,4.8 out of 5 stars,9667.0,2000.0,False,False,False,True,OMOTON
B005G2YP6M,"Targus 15-16 Inch Classic Slim Ergonomic Briefcase and Messenger Bag for 16"" Laptops and Under (TCT027US)",22.0,4.6 out of 5 stars,10524.0,2000.0,True,False,False,False,Targus
B0B9KRR97K,"Lenovo Laptop Bag T210, Messenger Shoulder Bag for Laptop or Tablet, Sleek, Durable & Water-Repellent Fabric",17.99,4.7 out of 5 stars,27107.0,2000.0,False,False,True,False,Lenovo
B06XZTZ7GB,"MATEIN Travel Laptop Backpack, Business Anti Theft Slim Sturdy Laptops Backpack with USB Charging Port, Water Resistant College School Computer Bag Gift for Men & Women Fits 15.6 Inch Notebook, Grey",21.99,4.7 out of 5 stars,101109.0,9000.0,False,False,False,True,MATEIN
B0CZ9FRJ7G,"LOVEVOOK Travel Laptop Backpack Women, 15.6 Inch Anti-theft Laptop Bag with USB Port, Fashion Waterproof Computer Backpacks Teacher Nurse Backpack Purse for College School Work",29.99,4.8 out of 5 stars,75.0,,False,False,False,True,LOVEVOOK
B085Q2NMPT,LOVEVOOK Laptop Tote Bag for Women 15.6 Inch Waterproof Leather Computer Bags Business Office Work Briefcase Black,35.99,4.3 out of 5 stars,4609.0,2000.0,False,False,False,False,LOVEVOOK
B0BWF6ZQVT,LOVEVOOK Laptop Bag for Women 15.6 Inch Laptop Tote Work Bag Professional Leather Computer Briefcase Waterproof Business Teacher Office Bag Handbag,36.99,4.7 out of 5 stars,1663.0,1000.0,False,False,False,False,LOVEVOOK
B07V4R4Z77,"SHRRADOO Extra Large 50L Travel Laptop Backpack with USB Charging Port, College Backpack Airline Approved Business Work Bag Fits 17 Inch Computer for Men Women",25.59,4.7 out of 5 stars,37878.0,7000.0,False,False,False,False,SHRRADOO
B07F2YJRN2,"Laptop Backpack,Business Travel Anti Theft Slim Durable Laptops Backpack with USB Charging Port,Water Resistant College Computer Bag for Women & Men Fits 15.6 Inch Laptop and Notebook - Black",25.49,4.6 out of 5 stars,30629.0,4000.0,False,False,False,True,Generic
B0DDK88FR7,"LOVEVOOK Laptop Bag for Women,15.6 inch Work Bags with Clutch, Vintage Leather Laptop Tote Bag,Computer Bag Laptop Purse, Briefcase Tote Bag Shoulder Bag Handbag for Business Office Teacher",32.99,4.4 out of 5 stars,11.0,100.0,False,False,False,False,LOVEVOOK
B09MQWWP87,"Taygeer Travel Backpack for Women, Carry On Backpack with USB Charging Port & Shoe Pouch, TSA 15.6inch Laptop Backpack Flight Approved, Nurse Bag Casual Daypack for Weekender Business Hiking, Pink",17.99,4.7 out of 5 stars,10033.0,10000.0,True,False,False,True,Taygeer
B0BS9G1MQ3,"BAGSMART Protective Sleeve case Compatible with MacBook Pro 16 Inch,15.6 inch, HP,Dell,Acer Aspire,Asus Notebook,Laptop with Shoulder Strap,Pocket,Handle,Pink",19.99,4.6 out of 5 stars,3761.0,1000.0,False,False,False,False,BAGSMART
B0CBZ2B9DB,"Lenovo Laptop Carrying Case T210, 15.6-Inch Laptop and Tablet, Sleek Design, Durable and Water-Repellent Fabric, Business or School, GX41L83769 Casual Toploader - Eco Black",14.99,4.7 out of 5 stars,13723.0,1000.0,False,False,False,False,Lenovo
B0BYS7VHMN,"LOVEVOOK Laptop Bag for Women, 15.6 inch Laptop Tote Bag Vintage Work Bags for Women Computer Bag Office Briefcase Handbag",38.99,4.5 out of 5 stars,1355.0,1000.0,False,False,False,False,LOVEVOOK
B001HQ9A7A,"Targus Mobile Elite Laptop Bag for 15.6-inch Laptops, TSA Checkpoint-Friendly Design, Messenger Bag for Men /Women, Computer Bag & Laptop Case for Mac/PC/Dell/Lenovo/HP, Black (TBT045US)",63.54,4.3 out of 5 stars,177.0,50.0,False,False,False,False,Targus
B0B7N9SPJY,"RAINSMORE Laptop Bag for Women 15.6 Inch PU Tote Bag Business Office Work Bag Waterproof Briefcase Computer Tote Lightweight Handbag Shoulder, Black",34.99,4.3 out of 5 stars,1434.0,1000.0,False,False,False,False,RAINSMORE
B0BPX6DNRG,"LOVEVOOK Laptop Backpack for Women, 15.6 Inch Work Business Backpacks Purse with USB Port, Large Capacity Nurse Bag College Bookbag for School, Waterproof Casual Daypack for Travel,Black-White-Brown",29.98,4.8 out of 5 stars,2664.0,3000.0,False,False,False,True,LOVEVOOK
B0BGCGLQXJ,Lenovo Laptop Shoulder Bag T215 15.6 inch - Black- Slip Laptop Compartment - Front Zippered Pocket - Adjustable Strap,13.59,4.6 out of 5 stars,75.0,500.0,False,False,False,False,Lenovo
B0CN9TLR5K,"THE NORTH FACE Vault Everyday Laptop Backpack, TNF Black-NPF, One Size",65.0,4.7 out of 5 stars,375.0,1000.0,False,False,False,False,Generic
B0CS2M95TS,BANGE Business Laptop Smart backpack Can Hold 15.6 Inch Laptop Commute Backpack Carry on bag for men and women,63.99,3.7 out of 5 stars,10.0,,False,False,False,False,BANGE
B09Y3J6FGT,"Laptop Case, Sleeve, 15.6 inch Bag Shockproof Protective Notebook Case with Accessory Pocket, Briefcase Carrying Cover for 15.6"" HP, ASUS, Dell, Lenovo, Acer,Black",9.57,4.6 out of 5 stars,1541.0,1000.0,False,False,False,False,Generic
B07CXJNH2S,"Ytonet Laptop Case, 15.6 inch TSA Laptop Bag Laptop Sleeve Water Resistant Computer Case Laptop Carrying Case Compatible for Lenovo, HP, Dell, Asus Notebook, Gifts for Men Women, Grey",12.99,4.6 out of 5 stars,24411.0,2000.0,False,False,False,False,Ytonet
B092PZ7TTL,VANKEAN Laptop Briefcase Premium Laptop Case Fits Up to 17.3 Inch Business Shoulder Bag Laptop Expandable Water-Repellent Messenger Bag for Men/Women Computer Bag for Travel/Business/Black,35.59,4.7 out of 5 stars,2839.0,500.0,False,False,False,False,VANKEAN
B0BWR785F8,"15 15.6 16 17 17.3 inch Laptop Computer PC Shoulder Bag Carrying Case, Water-Repellent Briefcase Toploader",23.99,4.7 out of 5 stars,1976.0,500.0,False,False,False,True,Generic
B09QPKCGWL,"Laptop Case Sleeve 15.6 inch, Durable Shockproof Protective Computer Carrying Cover with Front Pocket, Briefcase Handbags Laptop Sleeve Bag for 15.6 inch HP, Dell, Acer, Asus, Notebook, Black",9.47,4.4 out of 5 stars,1638.0,2000.0,True,False,False,False,Generic
B075Y73SDV,"Lenovo Laptop Carrying Case T210, 15.6-Inch Laptop and Tablet, Sleek Design, Durable and Water-Repellent Fabric, Business Casual or School, GX40Q17231 Casual Toploader - Grey",12.99,4.7 out of 5 stars,13723.0,2000.0,False,False,False,False,Lenovo
B0CLGXK7MR,"Laptop Sleeve Case 14 inch, Shockproof Protective Laptop Cover Briefcase Carrying Computer Bag with Accessory Pocket Portable Laptop Sleeve for 14"" MacBook, HP, Dell, Lenovo, Acer, Black",9.58,4.5 out of 5 stars,477.0,2000.0,False,False,False,True,Generic
B08CS1F4F1,Lenovo Urban Laptop Sleeve 14 Inch for Laptop/ Notebook/Tablet Compatible with MacBook Air/Pro Water Resistant - Charcoal Grey,14.99,4.7 out of 5 stars,5203.0,2000.0,False,False,False,False,Lenovo
B0BP7RLGDC,"MOSISO 360 Protective Laptop Shoulder Bag,15-15.6 inch Computer Bag Compatible with MacBook Pro 16, HP, Dell, Lenovo, Asus Notebook,Side Open Messenger Bag with 4 Zipper Pockets&Handle, Gray",32.99,4.6 out of 5 stars,2022.0,500.0,False,False,False,True,MOSISO
